Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	19.72	9.585489032908024	-inf	50	0.982	0.0005	2.2697713640001087e-05
2000	21.387096774193548	10.132490334981043	-inf	93	0.964	0.0005	0.00036286334196726483
3000	22.79	10.59839138737573	22.99	137	0.946	0.0005	0.0006156655152638753
4000	21.05	10.460760010630203	22.99	187	0.9279999999999999	0.0005	0.0008662565549214681
5000	21.6	10.47950380504726	22.99	230	0.91	0.0005	0.0011239654488033718
6000	23.04	11.828710834237178	23.08	271	0.892	0.0005	0.001384683714972602
7000	24.25	11.802859822941219	24.47	313	0.874	0.0005	0.0016445853975084093
8000	25.38	13.025958697923162	25.84	348	0.856	0.0005	0.0019084829754299588
9000	28.05	16.457445123712247	28.05	378	0.838	0.0005	0.0021876498725679184
10000	31.11	20.25531782026636	31.11	407	0.82	0.0005	0.0024622725778155855
11000	33.0	22.61327044016411	33.7	437	0.802	0.0005	0.002732113798459371
12000	37.29	29.47415647647953	37.29	455	0.784	0.0005	0.0030057977967792087
13000	38.81	29.95853634609007	39.23	481	0.766	0.0005	0.003283703989452786
14000	41.17	30.245348402688307	41.17	506	0.748	0.0005	0.0035677234331766765
15000	42.24	29.908567334461207	43.0	529	0.73	0.0005	0.0038516104883617825
16000	46.72	34.8129516128696	47.59	545	0.712	0.0005	0.004141275220447116
17000	47.47	32.94251204750482	47.59	563	0.694	0.0005	0.004432126681009929
18000	49.11	33.75644975408403	49.11	580	0.6759999999999999	0.0005	0.0047281855344772335
19000	52.87	36.607282062453095	52.87	598	0.6579999999999999	0.0005	0.005034341414769491
20000	56.55	38.78127769942605	56.55	611	0.6399999999999999	0.0005	0.0053460917207929825
21000	58.44	41.458248877635924	58.44	632	0.622	0.0005	0.005661472611957126
22000	59.89	41.40552982392569	61.24	645	0.604	0.0005	0.005974371433258057
23000	66.82	45.86226771541067	66.82	653	0.586	0.0005	0.006296270224783155
24000	68.66	47.32086643331882	68.67	664	0.5680000000000001	0.0005	0.00661722097131941
25000	72.6	48.82253578010875	72.6	677	0.55	0.0005	0.0069418595234553016
26000	74.81	51.60749848616962	76.16	685	0.532	0.0005	0.007262180182668898
27000	81.13	53.12318796909689	81.49	694	0.514	0.0005	0.007575062645806207
28000	86.35	56.325016644471575	86.35	704	0.4959999999999999	0.0005	0.007898626195059882
29000	91.32	58.37771492615997	91.32	710	0.478	0.0005	0.008239004876878526
30000	97.56	59.48467365632933	97.56	717	0.45999999999999996	0.0005	0.008581507470872668
31000	104.32	61.46981047636311	104.36	723	0.44199999999999995	0.0005	0.008929260571797689
32000	110.9	60.8737217524935	110.9	729	0.42399999999999993	0.0005	0.009262128935919867
33000	117.51	61.68492441431699	117.51	734	0.4059999999999999	0.0005	0.009605099227693346
34000	123.71	61.31627761043554	123.71	740	0.3879999999999999	0.0005	0.00994769487116072
35000	128.5	61.258060694083355	128.5	745	0.37	0.0005	0.010293209751447041
36000	131.64	62.34974258166588	131.64	751	0.352	0.0005	0.010655528373188443
37000	135.71	62.651144442859135	135.71	756	0.33399999999999996	0.0005	0.01102211528354221
38000	142.4	60.05447527037431	142.4	762	0.31599999999999995	0.0005	0.011387402812639872
39000	147.06	59.03893969237592	147.06	768	0.29799999999999993	0.0005	0.011744205289416844
40000	154.96	54.55106231779542	154.96	773	0.2799999999999999	0.0005	0.012115745147069295
41000	158.49	54.30018324094312	158.49	778	0.262	0.0005	0.012480051053894891
42000	161.44	54.37100697982335	161.44	783	0.244	0.0005	0.01283925665749444
43000	167.56	49.90517408044982	167.56	788	0.22599999999999998	0.0005	0.013204681608412
44000	171.42	47.55632029499339	171.42	793	0.20799999999999996	0.0005	0.013581126001146105
45000	175.39	43.77257017813781	175.39	798	0.18999999999999995	0.0005	0.01394872181945377
46000	181.87	35.17290292256242	181.87	803	0.17199999999999993	0.0005	0.014320444199774001
47000	183.1	34.767369759589236	183.1	808	0.15400000000000003	0.0005	0.01469405750433604
48000	185.85	30.00679089806173	185.85	813	0.136	0.0005	0.015073255499204
49000	186.15	28.604326595814136	186.43	819	0.118	0.0005	0.015457471013069152
50000	188.0	23.197844727474145	188.01	824	0.1	0.0005	0.015851793421639337
51000	189.62	21.453102339754967	189.65	829	0.0984	0.0005	0.016238688561651442
52000	189.46	21.593248944982783	189.68	835	0.09680000000000001	0.0005	0.01662616835700141
53000	190.41	20.976698977675206	190.41	840	0.0952	0.0005	0.01701489574379391
54000	191.47	19.695408094274157	191.47	845	0.0936	0.0005	0.017401634653409322
55000	192.53	16.10059315677531	192.69	850	0.092	0.0005	0.017797247105174593
56000	192.91	14.880924030449185	193.29	855	0.09040000000000001	0.0005	0.0181948948568768
57000	193.97	13.21624379315091	193.97	860	0.0888	0.0005	0.01858563721179962
58000	193.67	13.647750730431735	193.97	865	0.0872	0.0005	0.01898703144656287
59000	194.54	9.885767547337942	194.59	870	0.08560000000000001	0.0005	0.019381909502877128
60000	193.47	10.690608027610029	194.59	876	0.084	0.0005	0.019785299830966524
61000	193.31	10.711391132808101	194.59	881	0.0824	0.0005	0.02017999933825599
62000	192.72	10.89043617124677	194.59	886	0.08080000000000001	0.0005	0.02057539078924391
63000	192.2	10.910545357588683	194.59	892	0.0792	0.0005	0.020965587231847976
64000	192.49	10.882550252583263	194.59	897	0.0776	0.0005	0.021354176931911044
65000	191.78	11.237063673397957	194.59	902	0.07600000000000001	0.0005	0.02174782050980462
66000	190.84	11.860623929625287	194.59	908	0.07440000000000001	0.0005	0.02214062167538537
67000	191.37	11.499265193915653	194.59	913	0.0728	0.0005	0.022528799904717338
68000	191.68	11.3867291177054	194.59	918	0.07120000000000001	0.0005	0.022933940556314255
69000	190.61	12.432131756058572	194.59	924	0.06960000000000001	0.0005	0.023334281974368626
70000	190.44	12.874253376409833	194.59	929	0.068	0.0005	0.023723537060949536
71000	190.0	13.497407158413797	194.59	935	0.06640000000000001	0.0005	0.024115465813212923
72000	189.32	13.903869964869495	194.59	940	0.0648	0.0005	0.024505806962649028
73000	189.35	13.90206819145986	194.59	945	0.0632	0.0005	0.024895396166377596
74000	189.17	14.111027602552552	194.59	950	0.06160000000000001	0.0005	0.02528178506427341
75000	189.29	13.894815579920447	194.59	955	0.060000000000000005	0.0005	0.025669502284791736
76000	184.27	32.77372575707559	194.59	963	0.0584	0.0005	0.0260700253645579
77000	184.08	32.805389801067754	194.59	968	0.0568	0.0005	0.026461316744486492
78000	179.86	41.0470510512022	194.59	976	0.0552	0.0005	0.026857998172442117
79000	178.66	41.412128658160036	194.59	982	0.05360000000000001	0.0005	0.02724881284766727
80000	177.04	42.146629758499074	194.59	988	0.052000000000000005	0.0005	0.027650010188420615
81000	177.18	42.21098909052002	194.59	993	0.05040000000000001	0.0005	0.02805927793184916
