Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.408163265306122	8.754983111318198	-inf	49	0.982	0.0005	2.4728112750583224e-05
2000	20.78125	9.15514782899945	-inf	96	0.964	0.0005	0.0003481113248401218
3000	22.33	10.400052884480925	22.55	138	0.946	0.0005	0.000584484338760376
4000	21.59	11.575918969999748	22.55	186	0.9279999999999999	0.0005	0.0008226385381486681
5000	19.87	10.181998821449548	22.55	239	0.91	0.0005	0.001065773500336541
6000	19.35	9.624318157667066	22.55	290	0.892	0.0005	0.0013116949134402804
7000	19.78	10.130725541638169	22.55	341	0.874	0.0005	0.0015611644585927327
8000	19.72	8.918609757131433	22.55	392	0.856	0.0005	0.00181523064772288
9000	20.29	9.97626683684834	22.55	438	0.838	0.0005	0.002066106465127733
10000	20.24	10.940859198435925	22.55	489	0.82	0.0005	0.002320008741484748
11000	19.95	10.410931754650974	22.55	539	0.802	0.0005	0.0025751684109369915
12000	20.61	12.428913870487639	22.55	586	0.784	0.0005	0.002833843363655938
13000	22.36	13.764098226909022	22.55	627	0.766	0.0005	0.0030952150954140557
14000	22.32	12.356277756670897	22.55	676	0.748	0.0005	0.003360829022195604
15000	18.95	9.880662933224674	22.55	734	0.73	0.0005	0.0036298387580447726
16000	18.2	7.05407683541936	22.55	787	0.712	0.0005	0.0039010094271765814
17000	19.2	9.908582138732058	22.55	838	0.694	0.0005	0.004178291095627679
18000	18.78	10.291336162034549	22.55	893	0.6759999999999999	0.0005	0.0044568446609709
19000	16.98	6.517637608827297	22.55	955	0.6579999999999999	0.0005	0.0047399060593711
20000	15.5	5.267826876426369	22.55	1019	0.6399999999999999	0.0005	0.005025551451577081
21000	16.55	6.769601169936084	22.55	1080	0.622	0.0005	0.005311163928773668
22000	15.31	5.821846786029327	22.55	1145	0.604	0.0005	0.005605496366818746
23000	15.6	5.2497618993626745	22.55	1210	0.586	0.0005	0.005900738040606181
24000	14.75	5.573822745656701	22.55	1279	0.5680000000000001	0.0005	0.006243900391790602
25000	15.23	7.479110909727171	22.55	1344	0.55	0.0005	0.006599240435494317
26000	13.59	4.467874214881166	22.55	1419	0.532	0.0005	0.006922148399882847
27000	13.25	4.2340878592679205	22.55	1493	0.514	0.0005	0.007233278420236375
28000	13.08	3.4947961313930747	22.55	1569	0.4959999999999999	0.0005	0.007538992431428697
29000	12.86	4.118300620401575	22.55	1647	0.478	0.0005	0.007854642934269376
30000	13.31	4.330577328717269	22.55	1719	0.45999999999999996	0.0005	0.008163573543230692
31000	14.18	4.5549533477303585	22.55	1790	0.44199999999999995	0.0005	0.008480301896731058
32000	13.07	3.750346650644444	22.55	1870	0.42399999999999993	0.0005	0.008804556065135532
33000	12.51	3.694577107058398	22.55	1948	0.4059999999999999	0.0005	0.009123473498556349
34000	12.99	4.2696486974925705	22.55	2026	0.3879999999999999	0.0005	0.009448450737529332
35000	11.97	3.2294117111325407	22.55	2110	0.37	0.0005	0.009777284264564513
36000	12.04	3.111012696856122	22.55	2193	0.352	0.0005	0.01011036197344462
37000	12.28	2.9123186638827834	22.55	2274	0.33399999999999996	0.0005	0.010441146956549751
38000	11.65	3.153965757582032	22.55	2362	0.31599999999999995	0.0005	0.010780355466736688
39000	11.47	2.7475625561577304	22.55	2450	0.29799999999999993	0.0005	0.01112352516916063
40000	11.29	2.264045052555271	22.55	2537	0.2799999999999999	0.0005	0.011466941899723478
41000	11.35	2.9406631905065224	22.55	2625	0.262	0.0005	0.011819397277302213
42000	10.73	2.0535578881541174	22.55	2718	0.244	0.0005	0.0121763324075275
43000	11.09	2.280767414709356	22.55	2808	0.22599999999999998	0.0005	0.012537358270751106
44000	10.91	1.8444240293381562	22.55	2900	0.20799999999999996	0.0005	0.01290438175201416
45000	10.41	1.7151967817133986	22.55	2996	0.18999999999999995	0.0005	0.013265396952629089
46000	10.57	1.7392814608337546	22.55	3090	0.17199999999999993	0.0005	0.013625317944420708
47000	10.31	1.481181960462657	22.55	3188	0.15400000000000003	0.0005	0.013999440670013429
48000	10.23	1.5547025438970634	22.55	3286	0.136	0.0005	0.014372133016586304
49000	10.12	1.3511476603243628	22.55	3385	0.118	0.0005	0.014752212233013576
50000	9.89	1.2401209618420295	22.55	3486	0.1	0.0005	0.01512334234184689
51000	9.96	1.3260467563400622	22.55	3586	0.0984	0.0005	0.015497865875562032
52000	9.81	1.2222520198387894	22.55	3688	0.09680000000000001	0.0005	0.015887183282110424
53000	9.69	1.0554146104730595	22.55	3791	0.0952	0.0005	0.016264162527190314
54000	9.83	1.2494398745037714	22.55	3893	0.0936	0.0005	0.016641652584075926
55000	9.98	1.4069825869569248	22.55	3993	0.092	0.0005	0.01703326079580519
56000	9.79	1.070467187726929	22.55	4096	0.09040000000000001	0.0005	0.01742591268486447
57000	9.87	1.24623432788541	22.55	4197	0.0888	0.0005	0.017816582918167113
58000	9.77	0.9471536306217697	22.55	4299	0.0872	0.0005	0.018207840389675566
59000	10.1	1.1958260743101399	22.55	4398	0.08560000000000001	0.0005	0.01859950111971961
60000	9.67	0.8491760712596653	22.55	4501	0.084	0.0005	0.01898006750477685
61000	9.82	1.089770618066022	22.55	4603	0.0824	0.0005	0.01935759511258867
62000	9.7	1.1958260743101399	22.55	4707	0.08080000000000001	0.0005	0.019735382795333864
63000	9.76	1.068831137270991	22.55	4809	0.0792	0.0005	0.020125560230678984
64000	9.79	1.1251222155837115	22.55	4911	0.0776	0.0005	0.020508306887414722
65000	9.77	1.198791057691039	22.55	5013	0.07600000000000001	0.0005	0.02089872313870324
66000	9.81	1.2057777573002415	22.55	5115	0.07440000000000001	0.0005	0.021296180023087394
