Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-20.3	0.9000000000000001	-inf	10	0.991	0.0001	0.005650001896752251
20000	-20.333333333333332	0.890870806374748	-inf	21	0.982	0.0001	0.009998963276545206
30000	-20.375	0.8569568250501305	-inf	32	0.973	0.0001	0.014728082484669155
40000	-20.372093023255815	0.7782883967758844	-inf	43	0.964	0.0001	0.01906509346432156
50000	-20.333333333333332	0.7934920476158722	-inf	54	0.955	0.0001	0.023411227530903286
60000	-20.307692307692307	0.8213137116947162	-inf	65	0.946	0.0001	0.04074276069800059
70000	-20.376623376623378	0.7901826361130525	-inf	77	0.9369999999999999	0.0001	0.05725516425238715
80000	-20.39080459770115	0.7783909403833108	-inf	87	0.9279999999999999	0.0001	0.0738301330142551
90000	-20.387755102040817	0.7776554646227612	-inf	98	0.919	0.0001	0.09050927023092906
100000	-20.4	0.7483314773547883	-20.4	109	0.91	0.0001	0.10713877883222368
110000	-20.37	0.7301369734508725	-20.35	120	0.901	0.0001	0.12379143569204543
120000	-20.34	0.7241546796092669	-20.34	130	0.892	0.0001	0.14096677389409806
130000	-20.36	0.7552483035399682	-20.34	141	0.883	0.0001	0.15764166249169242
140000	-20.35	0.7794228634059948	-20.34	151	0.874	0.0001	0.17440308107270136
150000	-20.34	0.751265598839718	-20.32	162	0.865	0.0001	0.19124616152710386
160000	-20.28	0.8009993757800314	-20.28	173	0.856	0.0001	0.20806186901198492
170000	-20.28	0.8009993757800314	-20.24	184	0.847	0.0001	0.2249224270714654
180000	-20.29	0.816026960338934	-20.24	194	0.838	0.0001	0.24184461077054342
190000	-20.2	0.9273618495495703	-20.2	205	0.829	0.0001	0.25882852527830336
200000	-20.21	0.9197282207261012	-20.18	217	0.82	0.0001	0.27620521750715044
210000	-20.22	0.9228217596047461	-20.18	228	0.8109999999999999	0.0001	0.2932287193669213
220000	-20.19	0.9454628496138808	-20.18	238	0.802	0.0001	0.3102644137541453
230000	-20.14	0.938296328459192	-20.12	249	0.7929999999999999	0.0001	0.32745485610432096
240000	-20.09	0.9705153270299239	-20.09	260	0.784	0.0001	0.3445905215872659
250000	-20.09	0.9705153270299238	-20.06	270	0.775	0.0001	0.36177290148205227
260000	-20.09	0.9601562372864118	-20.06	281	0.766	0.0001	0.3790776997804642
270000	-20.02	0.9693296652842108	-20.02	292	0.757	0.0001	0.3963851804203457
280000	-20.07	0.8746999485537884	-20.02	302	0.748	0.0001	0.4136790489488178
290000	-20.1	0.8888194417315589	-20.02	314	0.739	0.0001	0.4311315686172909
300000	-20.03	0.9105492847726585	-20.02	325	0.73	0.0001	0.44854247828324634
310000	-20.08	0.8795453370918408	-20.02	335	0.721	0.0001	0.4659854460424847
320000	-20.1	0.8660254037844387	-20.02	346	0.712	0.0001	0.48386686391300626
330000	-20.15	0.8760707733967614	-20.02	357	0.703	0.0001	0.5013425678014756
340000	-20.15	0.8986100377805712	-20.02	367	0.694	0.0001	0.5188649336496989
350000	-20.13	0.8905616205518853	-20.02	377	0.685	0.0001	0.5364916653765572
360000	-20.19	0.8566796367370944	-20.02	388	0.6759999999999999	0.0001	0.5541341176960204
370000	-20.17	0.9279547402756236	-20.02	398	0.667	0.0001	0.5717828332715564
380000	-20.19	0.9131812525451889	-20.02	408	0.6579999999999999	0.0001	0.5895525568723679
390000	-20.15	0.9733961166965891	-20.02	419	0.649	0.0001	0.6072878295183182
400000	-20.21	0.9305374790947434	-20.02	429	0.6399999999999999	0.0001	0.6250678517421087
410000	-20.13	0.986458311334037	-20.02	439	0.631	0.0001	0.6429605539639791
420000	-20.12	0.9927738916792683	-20.02	450	0.622	0.0001	0.6608363541629579
430000	-20.09	1.0401442207694087	-20.02	460	0.613	0.0001	0.6787815306584041
440000	-20.13	1.0164152694642088	-20.02	470	0.604	0.0001	0.6966960804992252
450000	-20.07	1.0700934538627924	-20.02	480	0.595	0.0001	0.7146550011634827
460000	-19.92	1.197330363767661	-19.92	488	0.586	0.0001	0.7326959143744575
470000	-19.89	1.1738398527908314	-19.86	498	0.577	0.0001	0.7507415227095287
480000	-19.82	1.1779643458101776	-19.82	506	0.5680000000000001	0.0001	0.7688009204467138
490000	-19.76	1.192644121270046	-19.76	515	0.5589999999999999	0.0001	0.7875116129716238
500000	-19.73	1.1904200939164293	-19.73	524	0.55	0.0001	0.8056853629483117
510000	-19.67	1.1920989891783316	-19.67	532	0.5409999999999999	0.0001	0.823874355620808
520000	-19.64	1.187602627144282	-19.61	541	0.532	0.0001	0.8421647342708376
530000	-19.56	1.259523719506703	-19.56	549	0.5229999999999999	0.0001	0.860469650361273
540000	-19.42	1.3429817571359635	-19.42	557	0.514	0.0001	0.8788378428750568
550000	-19.41	1.3348782716038194	-19.41	566	0.5049999999999999	0.0001	0.8971782839298248
560000	-19.28	1.3347658970770866	-19.28	574	0.4959999999999999	0.0001	0.9155478184090721
570000	-19.27	1.3553966209195005	-19.26	583	0.487	0.0001	0.9339963338110182
580000	-19.2	1.4142135623730951	-19.19	590	0.478	0.0001	0.9525162237882614
590000	-19.13	1.4328642643321103	-19.13	598	0.469	0.0001	0.9710816641648611
600000	-19.08	1.419013742005341	-19.08	605	0.45999999999999996	0.0001	0.9896705406241947
